Date,BTC_Price_USD,MSTR_Price_USD,BTC_Momentum_12M,BTC_Volatility_12M,MSTR_to_BTC_Ratio
2020-01-02,6985.47,14.43,0.18,0.65,0.002066
2020-01-03,7344.88,14.36,0.18,0.65,0.001955
2020-01-06,7769.22,14.43,0.18,0.65,0.001857
2020-01-07,8163.69,14.39,0.18,0.65,0.001762
2020-01-08,8079.86,14.37,0.18,0.65,0.001779
2020-01-09,7879.07,14.35,0.18,0.65,0.001821
2020-01-10,8166.55,14.24,0.18,0.65,0.001744
2020-01-13,8144.19,14.46,0.18,0.65,0.001775
2020-01-14,8827.76,14.48,0.18,0.65,0.00164
2020-01-15,8807.01,14.63,0.18,0.65,0.001661
2020-01-16,8723.79,14.67,0.18,0.65,0.001682
2020-01-17,8929.04,14.67,0.18,0.65,0.001643
2020-01-21,8745.89,14.6,0.18,0.65,0.001669
2020-01-22,8680.88,14.59,0.18,0.65,0.001681
2020-01-23,8406.52,14.57,0.18,0.65,0.001734
2020-01-24,8445.43,14.32,0.18,0.65,0.001695
2020-01-27,8909.82,14.25,0.18,0.65,0.0016
2020-01-28,9358.59,14.4,0.18,0.65,0.001539
2020-01-29,9316.63,15.26,0.18,0.65,0.001638
2020-01-30,9508.99,15.27,0.18,0.65,0.001606
2020-01-31,9350.53,15.2,0.18,0.65,0.001626
2020-02-03,9293.52,14.95,0.18,0.65,0.001608
2020-02-04,9180.96,15.18,0.18,0.65,0.001654
2020-02-05,9613.42,15.28,0.18,0.65,0.00159
2020-02-06,9729.8,15.22,0.18,0.65,0.001565
2020-02-07,9795.94,15.27,0.18,0.65,0.001558
2020-02-10,9856.61,15.15,0.18,0.65,0.001537
2020-02-11,10208.24,15.21,0.18,0.65,0.00149
2020-02-12,10326.05,14.98,0.18,0.65,0.001451
2020-02-13,10214.38,14.81,0.18,0.65,0.00145
2020-02-14,10312.12,14.88,0.18,0.65,0.001443
2020-02-18,10142.0,14.8,0.18,0.65,0.001459
2020-02-19,9633.39,14.96,0.18,0.65,0.001553
2020-02-20,9608.48,14.98,0.18,0.65,0.001559
2020-02-21,9686.44,14.99,0.18,0.65,0.001548
2020-02-24,9650.17,14.59,0.18,0.65,0.001512
2020-02-25,9341.71,14.01,0.18,0.65,0.001499
2020-02-26,8820.52,14.01,0.18,0.65,0.001589
2020-02-27,8784.49,13.62,0.18,0.65,0.001551
2020-02-28,8672.46,13.52,0.18,0.65,0.001558
2020-03-02,8869.67,13.67,0.18,0.65,0.001541
2020-03-03,8787.79,13.44,0.18,0.65,0.001529
2020-03-04,8755.25,13.62,0.18,0.65,0.001555
2020-03-05,9078.76,13.69,0.18,0.65,0.001508
2020-03-06,9122.55,13.63,0.18,0.65,0.001494
2020-03-09,7923.64,12.94,0.18,0.65,0.001633
2020-03-10,7909.73,13.0,0.18,0.65,0.001643
2020-03-11,7911.43,12.41,0.18,0.65,0.001569
2020-03-12,4970.79,10.85,0.18,0.65,0.002183
2020-03-13,5563.71,11.13,0.18,0.65,0.002001
2020-03-16,5014.48,10.67,0.18,0.65,0.002127
2020-03-17,5225.63,10.94,0.18,0.65,0.002093
2020-03-18,5238.44,9.22,0.18,0.65,0.00176
2020-03-19,6191.19,10.54,0.18,0.65,0.001702
2020-03-20,6198.78,10.07,0.18,0.65,0.001625
2020-03-23,6416.31,10.25,0.18,0.65,0.001597
2020-03-24,6734.8,10.69,0.18,0.65,0.001587
2020-03-25,6681.06,10.41,0.18,0.65,0.001559
2020-03-26,6716.44,11.05,0.18,0.65,0.001646
2020-03-27,6469.8,10.63,0.18,0.65,0.001643
2020-03-30,6429.84,11.02,0.18,0.65,0.001715
2020-03-31,6438.64,11.81,0.18,0.65,0.001834
2020-04-01,6606.78,11.34,0.18,0.65,0.001716
2020-04-02,6793.62,11.45,0.18,0.65,0.001685
2020-04-03,6733.39,11.22,0.18,0.65,0.001667
2020-04-06,7271.78,11.6,0.18,0.65,0.001596
2020-04-07,7176.41,11.77,0.18,0.65,0.00164
2020-04-08,7334.1,12.3,0.18,0.65,0.001677
2020-04-09,7302.09,12.54,0.18,0.65,0.001718
2020-04-13,6845.04,12.21,0.18,0.65,0.001784
2020-04-14,6842.43,12.65,0.18,0.65,0.001849
2020-04-15,6642.11,12.26,0.18,0.65,0.001846
2020-04-16,7116.8,12.41,0.18,0.65,0.001744
2020-04-17,7096.18,12.65,0.18,0.65,0.001783
2020-04-20,6881.96,12.69,0.18,0.65,0.001844
2020-04-21,6880.32,12.27,0.18,0.65,0.001783
2020-04-22,7117.21,12.5,0.18,0.65,0.001756
2020-04-23,7429.72,12.6,0.18,0.65,0.001696
2020-04-24,7550.9,12.56,0.18,0.65,0.001663
2020-04-27,7795.6,12.92,0.18,0.65,0.001658
2020-04-28,7807.06,12.89,0.18,0.65,0.00165
2020-04-29,8801.04,12.75,0.18,0.65,0.001448
2020-04-30,8658.55,12.63,0.18,0.65,0.001459
2020-05-01,8864.77,12.26,0.18,0.65,0.001383
2020-05-04,8912.65,11.85,0.18,0.65,0.00133
2020-05-05,9003.07,12.08,0.18,0.65,0.001342
2020-05-06,9268.76,12.2,0.18,0.65,0.001316
2020-05-07,9951.52,12.35,0.18,0.65,0.001241
2020-05-08,9842.67,12.47,0.18,0.65,0.001267
2020-05-11,8601.8,12.38,0.18,0.65,0.001439
2020-05-12,8804.48,12.01,0.2604,1.2728,0.001364
2020-05-13,9269.99,11.49,0.327,1.2695,0.00124
2020-05-14,9733.72,11.32,0.3934,1.2658,0.001163
2020-05-15,9328.2,11.56,0.3354,1.2622,0.001239
2020-05-18,9726.58,12.01,0.3924,1.2577,0.001235
2020-05-19,9729.04,11.91,0.3928,1.2511,0.001224
2020-05-20,9522.98,12.12,0.3633,1.2454,0.001273
2020-05-21,9081.76,12.07,0.3001,1.2428,0.001329
2020-05-22,9182.58,12.24,0.3145,1.2365,0.001333
2020-05-26,8835.05,12.47,0.2648,1.2327,0.001412
2020-05-27,9181.02,12.59,0.3143,1.2284,0.001372
2020-05-28,9525.75,12.53,0.3637,1.224,0.001316
2020-05-29,9439.12,12.45,0.3513,1.2181,0.001319
2020-06-01,10167.27,12.26,0.4555,1.2195,0.001206
2020-06-02,9529.8,12.11,0.3642,1.2203,0.001271
2020-06-03,9656.72,12.96,0.3824,1.2146,0.001342
2020-06-04,9800.64,12.53,0.403,1.209,0.001278
2020-06-05,9665.53,12.52,0.3837,1.2037,0.001295
